    4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	aux:pass	_	FUN=UseComp
    7	result	result	VERB	VB	VerbForm=Inf	5	xcomp	_	FUN=resultVB
    18	.	.	PUNCT	.	_	5	punct	_	_

13	significant	significant	ADJ	JJ	Degree=Pos	0	root	_	FUN=significant_A
    9	people	people	NOUN	NNS	Number=Plur	13	advcl	_	FUN=people_N
    10	,	,	PUNCT	,	_	13	punct	_	_
    11	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	13	nsubj	_	FUN=PRONPRP
    12	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	13	cop	_	FUN=UseComp

15	scale	scale	NOUN	NN	Number=Sing	0	root	_	FUN=scale_N
    9	people	people	NOUN	NNS	Number=Plur	15	advcl	_	FUN=people_N
    10	,	,	PUNCT	,	_	15	punct	_	_
    11	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	15	nsubj	_	FUN=PRONPRP
    12	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	15	cop	_	FUN=UseComp
    13	of	of	ADP	IN	_	15	case	_	_
    14	significant	significant	ADJ	JJ	Degree=Pos	15	amod	_	FUN=significant_A
    17	notification	notification	NOUN	NN	Number=Sing	15	nmod	_	FUN=notification_N

15	breach	breach	NOUN	NN	Number=Sing	0	root	_	FUN=breach_N
    9	people	people	NOUN	NNS	Number=Plur	15	advcl	_	FUN=people_N
    10	,	,	PUNCT	,	_	15	punct	_	_
    11	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	15	nsubj	_	FUN=PRONPRP
    12	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	15	cop	_	FUN=UseComp
    13	a	a	DET	DT	Definite=Ind|PronType=Art	15	det	_	FUN=a_Det
    14	notifiable	notifiable	ADJ	JJ	Degree=Pos	15	amod	_	FUN=notifiable_A

13	breach	breach	NOUN	NN	Number=Sing	0	root	_	FUN=breach_N
